задействовать,
заслушать,
изыскания,
истребовать,
инициирование,
инициировать,
взывать,
преобладать,
завуалированный,
инновационный,
информировать,
коммуникация,
комфортабельный,
компетентный,
гарантировать,
верифицировать,
демонстрировать,
легитимный,
немаловажно,
немаловажный,
выявить,
вышесказанный,
вышестоящий,
незамедлительный,
способствовать,
пользование,
подлежащий,
неимение,
неисполнение,
необходимый,нужный/нужно
необходимо,ннужный/нужно
являться,
проинформировать,сообщить
далее,потом
сведение,
сведения,
данный,этот/такой
несомненно,
дальнейший,следующий
соответственно,
корректный,верный/уместный
ликвидировать,уничтожить
минимизировать,снизить
систематизировать,упорядочить
спровоцировать,вызвать
трансформация,изменение
функционировать,работать