в ближайшее время;скоро
кратчайший срок;скоро
кратчайшие сроки;скоро
не требуется;не нужно
ввиду;из-за
на предмет;
в качестве;
в целях;чтобы
в настоящее время;сейчас
в рамках;
во избежание;чтобы не
в связи;потому что 
по причине;потому что 
в случае;если
таким образом;поэтому
на протяжении;
на текущий момент;сейчас 
в должной мере;
по прошествии;после
не позднее;
ряд действий;вот что нужно сделать
в порядке;
в частности;например
в разрезе;
за неимением;
путем;
почти;
более чем;
около;
более;
менее;
довольно;
наиболее;самый 
в этом случае;тогда
в таком случае;тогда